struktura;rozmiar;insert_ns;find_max_ns;extract_max_ns;modify_key_ns;return_size_ns
Kopiec_binarny;5000;46;53;187;2057;27
Tablica_dynamiczna;5000;28;3845;3915;2829;26
Kopiec_binarny;8000;54;28;180;3353;27
Tablica_dynamiczna;8000;32;12258;6160;4294;28
Kopiec_binarny;10000;42;26;234;4068;23
Tablica_dynamiczna;10000;36;7802;7797;5518;25
Kopiec_binarny;16000;50;29;202;6033;21
Tablica_dynamiczna;16000;33;12330;13038;8514;51
Kopiec_binarny;20000;43;28;214;8159;24
Tablica_dynamiczna;20000;49;15525;15967;10618;55
Kopiec_binarny;40000;50;25;232;16086;52
Tablica_dynamiczna;40000;38;38618;31788;22520;52
Kopiec_binarny;60000;88;27;258;19645;52
Tablica_dynamiczna;60000;44;45742;45649;24858;25
Kopiec_binarny;100000;61;55;246;29478;53
Tablica_dynamiczna;100000;46;84046;82435;37374;27
